time,value
1543255501,128000.0
1543259101,128000.0
1543262701,128000.0
1543266301,128000.0
1543269901,128000.0
1543273501,128000.0
1543277101,127000.0
1543280701,128000.0
1543284301,128000.0
1543287901,128000.0
1543291501,128000.0
1543295101,128000.0
1543298701,128000.0
1543302301,128000.0
1543305901,128000.0
1543309501,127000.0
1543313101,128000.0
1543316701,127000.0
1543320301,128000.0
1543323901,128000.0
1543327501,128000.0
1543331101,128000.0
1543334701,128000.0
1543338301,128000.0
1543341901,127000.0
1543345501,128000.0
1543349101,128000.0
1543352701,128000.0
1543356301,127000.0
1543359901,128000.0
1543363501,128000.0
1543367101,128000.0
1543370701,128000.0
1543374301,127000.0
1543377901,128000.0
1543381501,128000.0
1543385102,111000.0
1543388701,128000.0
1543392301,128000.0
1543395901,127000.0
1543399501,128000.0
1543403101,128000.0
1543406701,127000.0
1543410301,128000.0
1543413901,128000.0
1543417501,128000.0
1543421101,128000.0
1543424701,128000.0
