time,value
1542925201,67813.0
1542928801,67813.0
1542932401,67813.0
1542936001,67813.0
1542939601,67813.0
1542943202,67813.0
1542946802,67819.0
1542950401,67813.0
1542954001,67813.0
1542957601,67813.0
1542961201,67813.0
1542964801,67813.0
1542968401,67813.0
1542972001,67813.0
1542975601,67813.0
1542979201,67813.0
1542982801,67761.0
1542986401,67813.0
1542990001,67813.0
1542993601,67813.0
1542997201,67813.0
1543000801,67813.0
1543004401,67813.0
1543008001,67813.0
1543011601,67813.0
1543015201,67813.0
1543018801,67813.0
1543022401,67813.0
1543026001,67813.0
1543029601,67813.0
1543033201,67813.0
1543036801,67813.0
1543040401,67819.0
1543044001,67813.0
1543047601,67813.0
1543051201,67819.0
1543054801,67813.0
1543058401,67813.0
1543062001,67819.0
1543065601,67813.0
1543069201,67813.0
1543072801,67813.0
1543076401,67813.0
1543080001,67813.0
1543083601,67813.0
1543087201,67813.0
1543090801,67813.0
1543094401,67813.0
