time,value
1542924301,67900.0
1542927901,67900.0
1542931501,67900.0
1542935101,67900.0
1542938701,67900.0
1542942301,67900.0
1542945901,67900.0
1542949501,67900.0
1542953101,67900.0
1542956701,67900.0
1542960301,67900.0
1542963901,67900.0
1542967501,67900.0
1542971101,67900.0
1542974701,67900.0
1542978301,67900.0
1542981901,67900.0
1542985501,67300.0
1542989101,67900.0
1542992701,67900.0
1542996301,67900.0
1542999901,67900.0
1543003501,67900.0
1543007101,67900.0
1543010701,67900.0
1543014301,67900.0
1543017901,67900.0
1543021501,67900.0
1543025101,67900.0
1543028701,67900.0
1543032301,67900.0
1543035901,67900.0
1543039501,67900.0
1543043101,67200.0
1543046701,67900.0
1543050301,67900.0
1543053901,67900.0
1543057501,67900.0
1543061101,67900.0
1543064701,67900.0
1543068301,67900.0
1543071901,67900.0
1543075501,67900.0
1543079101,67900.0
1543082701,67900.0
1543086301,67900.0
1543089901,67900.0
1543093501,67900.0
